ID,generated
TEST_0000,0.4431423246860504
TEST_0001,0.822312593460083
TEST_0002,0.058701276779174805
TEST_0003,0.9279056787490845
TEST_0004,0.6388209462165833
TEST_0005,0.982822835445404
TEST_0006,0.9684651494026184
TEST_0007,0.6763047575950623
TEST_0008,0.915860116481781
TEST_0009,0.16849176585674286
TEST_0010,0.21611221134662628
TEST_0011,0.11808618158102036
TEST_0012,0.5266566276550293
TEST_0013,0.24401843547821045
TEST_0014,0.06098237633705139
TEST_0015,0.4489412009716034
TEST_0016,0.11702423542737961
TEST_0017,0.8245158791542053
TEST_0018,0.913543701171875
TEST_0019,0.5975186824798584
TEST_0020,0.09678196907043457
TEST_0021,0.2298569679260254
TEST_0022,0.19341209530830383
TEST_0023,0.8832924365997314
TEST_0024,0.5382716655731201
TEST_0025,0.15826885402202606
TEST_0026,0.969205379486084
TEST_0027,0.9792045950889587
TEST_0028,0.07425928115844727
TEST_0029,0.5028237104415894
TEST_0030,0.11758550256490707
TEST_0031,0.9774346351623535
TEST_0032,0.8838144540786743
TEST_0033,0.3148542046546936
TEST_0034,0.18951089680194855
TEST_0035,0.8513920903205872
TEST_0036,0.13673155009746552
TEST_0037,0.11058837920427322
TEST_0038,0.9834837317466736
TEST_0039,0.9740973711013794
TEST_0040,0.3875002861022949
TEST_0041,0.9126550555229187
TEST_0042,0.9586274027824402
TEST_0043,0.9836735725402832
TEST_0044,0.4929782748222351
TEST_0045,0.021916506811976433
TEST_0046,0.9689053297042847
TEST_0047,0.9365977644920349
TEST_0048,0.946395218372345
TEST_0049,0.9440176486968994
TEST_0050,0.4451499283313751
TEST_0051,0.975969135761261
TEST_0052,0.4268455505371094
TEST_0053,0.9739863872528076
TEST_0054,0.4455791115760803
TEST_0055,0.3129851222038269
TEST_0056,0.9832672476768494
TEST_0057,0.9834004044532776
TEST_0058,0.4960031807422638
TEST_0059,0.12581758201122284
TEST_0060,0.2867908179759979
TEST_0061,0.3579276204109192
TEST_0062,0.9121952056884766
TEST_0063,0.09475348889827728
TEST_0064,0.08847811818122864
TEST_0065,0.8607586622238159
TEST_0066,0.49949100613594055
TEST_0067,0.14827032387256622
TEST_0068,0.33453822135925293
TEST_0069,0.535055935382843
TEST_0070,0.2508337199687958
TEST_0071,0.9647603034973145
TEST_0072,0.044316913932561874
TEST_0073,0.941426157951355
TEST_0074,0.08189281076192856
TEST_0075,0.5954446196556091
TEST_0076,0.9400430917739868
TEST_0077,0.2479919046163559
TEST_0078,0.25154000520706177
TEST_0079,0.8167628645896912
TEST_0080,0.08685045689344406
TEST_0081,0.30149227380752563
TEST_0082,0.9733889102935791
TEST_0083,0.0677265152335167
TEST_0084,0.10207098722457886
TEST_0085,0.29187238216400146
TEST_0086,0.07562185078859329
TEST_0087,0.7649483680725098
TEST_0088,0.9056695103645325
TEST_0089,0.9096144437789917
TEST_0090,0.9750397205352783
TEST_0091,0.12480813264846802
TEST_0092,0.11897341161966324
TEST_0093,0.10039681196212769
TEST_0094,0.4358154833316803
TEST_0095,0.0621141754090786
TEST_0096,0.7819461226463318
TEST_0097,0.021123934537172318
TEST_0098,0.09299313277006149
TEST_0099,0.9443796277046204
TEST_0100,0.9802173376083374
TEST_0101,0.09856671094894409
TEST_0102,0.1463550478219986
TEST_0103,0.05575643852353096
TEST_0104,0.7552622556686401
TEST_0105,0.6383525133132935
TEST_0106,0.23796546459197998
TEST_0107,0.8574985265731812
TEST_0108,0.5239312052726746
TEST_0109,0.5366568565368652
TEST_0110,0.1842428296804428
TEST_0111,0.028668250888586044
TEST_0112,0.07230748981237411
TEST_0113,0.869059681892395
TEST_0114,0.8788400888442993
TEST_0115,0.5835763812065125
TEST_0116,0.9764899015426636
